2020.10.16 21:30:05 INFO  started: Metals version 0.9.4 in workspace '/home/xiaogouguohe/vta_pyhcl' for client vscode.
2020.10.16 21:30:07 INFO  time: initialize in 1.96s
2020.10.16 21:30:08 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.16 21:30:41 INFO  no build target: using presentation compiler with only scala-library
2020.10.16 21:30:41 WARN  no build target for: /home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/core/Decode.scala
2020.10.17 10:36:08 INFO  started: Metals version 0.9.4 in workspace '/home/xiaogouguohe/vta_pyhcl' for client vscode.
2020.10.17 10:36:10 INFO  time: initialize in 2.08s
2020.10.17 10:36:10 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 10:36:14 INFO  no build target: using presentation compiler with only scala-library
2020.10.17 10:36:14 WARN  no build target for: /home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/core/Compute.scala
2020.10.17 10:43:52 WARN  no build target for: /home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/shell/Configs.scala
2020.10.17 10:45:42 WARN  no build target for: /home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/core/Decode.scala
2020.10.17 10:54:51 WARN  no build target for: /home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/core/TensorLoad.scala
2020.10.17 11:03:07 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 11:03:07 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 11:03:08 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 11:03:13 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 11:03:13 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 11:03:13 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 11:03:13 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 11:03:31 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 11:03:31 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 11:03:31 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
